NAME	TITLE	SCORE	
AP5Z1		28.97706	
TCOF1		28.812868	
MCRIP1		28.470694	
ARFRP1		25.547594	
SIRT6		25.159777	
ARHGDIA		24.857504	
PKD1		24.523952	
CAPNS1		24.265171	
FIS1		24.218487	
UAP1L1		23.99897	
MBD3		23.768166	
FCHSD1		23.30721	
ZNF408		23.217512	
MMS19		23.201021	
ATP5F1D		23.039793	
LENG8		22.91109	
MAP3K11		22.437344	
XAB2		22.390413	
RPL28		22.372355	
TMUB2		22.092049	
ARFGAP1		21.715307	
ZNF335		21.680065	
WDR13		21.658045	
HCFC1R1		21.563154	
CCDC107		21.486048	
RHOT2		21.422045	
DPP7		21.104813	
WDR55		21.097242	
UBE2I		20.838017	
ZNF784		20.769497	
ACTR1A		20.705265	
AUP1		20.567942	
MAP2K2		20.438974	
DDX51		20.215614	
TAF1C		20.126984	
PTPN6		20.048437	
SLC4A2		19.973164	
NMT1		19.916637	
MAPK3		19.871117	
SGTA		19.812658	
SH3BP2		19.798424	
RFNG		19.506126	
KIFC2		19.456608	
VPS18		19.377987	
TLE5		19.377089	
ZNFX1		19.222586	
B3GAT3		19.178286	
DAD1		19.118214	
BSG		19.079882	
FAAP100		19.07863	
PABPN1P2		19.050558	
REEP4		19.04228	
MAPKAPK5-AS1		18.982733	
GDI1		18.97274	
RHBDD2		18.938112	
JOSD2		18.833055	
WDR18		18.78444	
MTCO1P40		18.690111	
RAB35		18.583195	
TMEM259		18.569551	
TMEM219		18.544758	
ACAP3		18.504705	
ZMYM4-AS1		18.464561	
LAMTOR4		18.407906	
METTL26		18.35928	
ARAF		18.327028	
UBE2L3		18.195154	
HRAS		18.155703	
STK25		18.098637	
GMPPA		18.077475	
TMUB1		18.06279	
TSSC4		17.975758	
AP2S1		17.964436	
CELF1		17.941324	
LPIN3		17.925312	
ENGASE		17.88712	
BUD23		17.886768	
SYMPK		17.876616	
RING1		17.843664	
MIB2		17.829649	
ZFAND2B		17.788649	
AGAP3		17.750507	
RAB1B		17.65778	
DYNC1H1		17.609713	
AP1B1		17.491266	
NDUFS8		17.37157	
PPM1M		17.175688	
CIAO1		17.150574	
ABCA7		17.08708	
FIZ1		17.077602	
GRK2		17.053877	
RASSF1		17.030941	
BRD2		17.021683	
TBC1D25		17.01388	
TRIR		17.012045	
TNPO2		17.003471	
